Server_05	Server_0	Server_01	Server_03	Server_04	
4.235	4.000	3.486	3.378	3.684	
4.618	4.000	3.486	3.378	3.684	
4.809	4.000	3.486	3.378	3.684	
4.904	4.000	3.486	3.378	3.684	
4.952	4.000	3.486	3.378	3.684	
4.976	4.000	3.486	3.378	3.684	
4.835	4.000	3.486	3.378	3.684	
4.765	4.000	3.486	3.378	3.684	
4.729	4.000	3.486	3.378	3.684	
4.712	4.000	3.486	3.378	3.684	
4.703	4.000	3.486	3.378	3.684	
4.546	4.000	3.486	3.378	3.684	
4.467	4.000	3.486	3.378	3.684	
4.428	4.000	3.486	3.378	3.684	
4.408	4.000	3.486	3.378	3.684	
4.398	4.000	3.486	3.378	3.684	
4.393	4.000	3.486	3.378	3.684	
4.391	4.000	3.486	3.378	3.684	
4.389	4.000	3.486	3.378	3.684	
4.389	4.000	3.486	3.378	3.684	
4.389	4.000	3.486	3.378	3.684	
4.511	4.000	3.486	3.378	3.684	
4.296	4.000	3.486	3.378	3.684	
4.189	4.000	3.486	3.378	3.684	
4.136	4.000	3.486	3.378	3.684	
4.109	4.000	3.486	3.378	3.684	
4.096	4.000	3.486	3.378	3.684	
4.089	4.000	3.486	3.378	3.684	
4.086	4.000	3.486	3.378	3.684	
4.084	4.000	3.486	3.378	3.684	
4.236	4.000	3.486	3.378	3.684	
4.159	4.000	3.486	3.378	3.684	
4.121	4.000	3.486	3.378	3.684	
4.101	4.000	3.486	3.378	3.684	
4.092	4.000	3.486	3.378	3.684	
4.087	4.000	3.486	3.378	3.684	
4.085	4.000	3.486	3.378	3.684	
4.083	4.000	3.486	3.378	3.684	
4.083	4.000	3.486	3.378	3.684	
4.083	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
4.082	4.000	3.486	3.378	3.684	
3.929	4.000	3.486	3.378	3.684	
4.006	4.000	3.486	3.378	3.684	
4.044	4.000	3.486	3.378	3.684	
4.063	4.000	3.486	3.378	3.684	
3.920	4.000	3.486	3.378	3.684	
3.848	4.000	3.486	3.378	3.684	
3.812	4.000	3.486	3.378	3.684	
4.100	4.000	3.486	3.378	3.684	
4.091	4.000	3.486	3.378	3.684	
3.934	4.000	3.486	3.378	3.684	
3.855	4.000	3.486	3.378	3.684	
3.969	4.000	3.486	3.378	3.684	
4.025	4.000	3.486	3.378	3.684	
3.901	4.000	3.486	3.378	3.684	
3.838	4.000	3.486	3.378	3.684	
3.960	4.000	3.486	3.378	3.684	
4.021	4.000	3.486	3.378	3.684	
4.052	4.000	3.486	3.378	3.684	
3.914	4.000	3.486	3.378	3.684	
3.845	4.000	3.486	3.378	3.684	
3.964	4.000	3.486	3.378	3.684	
4.176	4.000	3.486	3.378	3.684	
4.129	4.000	3.486	3.378	3.684	
3.953	4.000	3.486	3.378	3.684	
3.864	4.000	3.486	3.378	3.684	
3.820	4.000	3.486	3.378	3.684	
3.951	4.000	3.486	3.378	3.684	
4.017	4.000	3.486	3.378	3.684	
4.049	4.000	3.486	3.378	3.684	
