Server_05	Server_00	Server_01	Server_02	Server_03	Server_04	Server_06	Server_07	Server_0	Time
4.878	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	58.491
4.719	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	85.195
4.591	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	110.913
4.489	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	140.424
4.408	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	164.104
4.343	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	196.031
4.291	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	221.001
4.249	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	249.328
4.216	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	275.414
4.128	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	301.293
4.057	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	324.940
4.062	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	350.517
4.066	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	374.916
4.070	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	402.732
4.011	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	426.611
3.964	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	451.493
3.964	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.200	477.541
3.988	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.200	500.211
3.988	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.360	525.891
3.945	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.360	552.453
3.911	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.360	575.705
3.884	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.360	600.474
3.884	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.488	628.888
3.884	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.590	650.930
3.924	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.590	677.753
3.956	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.590	702.225
3.956	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	730.886
3.981	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	754.270
4.001	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	778.950
4.017	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	800.597
4.030	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	825.421
4.041	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	851.552
4.110	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	878.567
4.043	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	902.809
3.990	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	928.106
3.947	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	951.279
3.974	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	977.669
3.996	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	1003.793
4.013	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	1028.893
4.027	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	1055.800
3.977	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	1079.895
3.998	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.672	1100.075
3.998	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.738	1128.781
3.998	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.790	1151.328
4.015	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.790	1178.426
4.028	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.790	1201.032
4.039	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.790	1230.061
4.048	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.790	1250.845
4.048	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.832	1278.800
3.993	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.832	1302.415
3.950	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.832	1326.992
3.915	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.832	1349.866
3.949	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.832	1375.390
3.975	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.832	1405.019
3.997	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.832	1429.906
3.997	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.866	1451.404
3.953	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.866	1476.668
3.979	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.866	1500.428
3.999	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.866	1528.026
4.016	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.866	1550.641
4.016	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.893	1579.068
4.029	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.893	1603.228
4.029	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.914	1627.426
3.979	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.914	1651.475
3.999	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.914	1674.592
4.016	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.914	1702.384
4.016	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1729.282
4.029	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1750.965
4.101	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1777.664
4.097	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1799.575
4.094	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1828.885
4.153	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1851.219
4.261	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1882.127
4.225	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.931	1902.257
4.225	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.945	1927.628
4.136	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.945	1948.939
4.125	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.945	1979.849
4.125	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2002.259
4.055	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2025.843
3.999	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2049.806
4.016	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2078.082
3.968	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2104.313
3.930	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2128.681
3.960	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2152.508
3.923	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2179.078
3.894	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2203.655
3.932	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2228.098
3.900	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2250.519
3.876	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2276.018
3.856	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2305.088
3.901	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2331.217
3.876	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2350.804
3.917	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2377.905
4.011	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2405.002
4.026	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2426.693
4.037	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2450.866
3.985	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2479.491
4.004	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2503.072
3.959	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2529.418
3.983	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2553.269
4.003	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2578.416
3.958	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2605.968
3.921	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.956	2626.798
3.921	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2651.078
3.892	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2677.950
3.869	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2706.277
3.912	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2729.148
3.946	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2752.133
3.912	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2777.896
3.885	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2800.604
3.863	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2828.844
3.846	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2850.205
3.893	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2874.974
3.870	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2900.858
3.851	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2929.278
3.897	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2947.804
3.934	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	2977.973
3.903	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	3000.245
3.939	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.965	3028.213
3.939	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.972	3053.470
3.939	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3078.318
3.967	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3103.492
3.929	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3128.198
4.021	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3146.801
4.033	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3180.463
4.104	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3201.450
4.100	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3228.799
4.035	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3252.081
4.044	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3283.576
4.052	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3303.081
4.058	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3328.535
4.124	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3351.321
4.116	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3381.044
4.109	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.977	3400.282
4.109	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.982	3429.897
4.042	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.982	3451.082
4.050	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.982	3475.191
4.050	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.986	3500.617
4.050	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.988	3526.876
4.057	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.988	3552.577
4.062	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.988	3580.851
4.066	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.988	3608.968
4.066	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.991	3681.597
4.066	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.993	4029.593
