Server_07	Server_0	Server_03	Server_06	Server_02	
4.235	4.000	3.840	3.468	3.550	
4.618	4.000	3.840	3.468	3.550	
4.656	4.000	3.840	3.468	3.550	
4.675	4.000	3.840	3.468	3.550	
4.685	4.000	3.840	3.468	3.550	
4.689	4.000	3.840	3.468	3.550	
4.539	4.000	3.840	3.468	3.550	
4.464	4.000	3.840	3.468	3.550	
4.426	4.000	3.840	3.468	3.550	
4.407	4.000	3.840	3.468	3.550	
4.398	4.000	3.840	3.468	3.550	
4.393	4.000	3.840	3.468	3.550	
4.391	4.000	3.840	3.468	3.550	
4.389	4.000	3.840	3.468	3.550	
4.389	4.000	3.840	3.468	3.550	
4.389	4.000	3.840	3.468	3.550	
4.235	4.000	3.840	3.468	3.550	
4.159	4.000	3.840	3.468	3.550	
4.121	4.000	3.840	3.468	3.550	
4.101	4.000	3.840	3.468	3.550	
4.092	4.000	3.840	3.468	3.550	
4.087	4.000	3.840	3.468	3.550	
4.085	4.000	3.840	3.468	3.550	
4.083	4.000	3.840	3.468	3.550	
4.083	4.000	3.840	3.468	3.550	
4.083	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
4.082	4.000	3.840	3.468	3.550	
3.929	4.000	3.840	3.468	3.550	
3.853	4.000	3.840	3.468	3.550	
3.967	4.000	3.840	3.468	3.550	
4.025	4.000	3.840	3.468	3.550	
3.900	4.000	3.840	3.468	3.550	
3.991	4.000	3.840	3.468	3.550	
4.037	4.000	3.840	3.468	3.550	
4.060	4.000	3.840	3.468	3.550	
4.071	4.000	3.840	3.468	3.550	
4.077	4.000	3.840	3.468	3.550	
3.926	4.000	3.840	3.468	3.550	
4.004	4.000	3.840	3.468	3.550	
4.043	4.000	3.840	3.468	3.550	
4.063	4.000	3.840	3.468	3.550	
4.073	4.000	3.840	3.468	3.550	
3.924	4.000	3.840	3.468	3.550	
3.850	4.000	3.840	3.468	3.550	
4.272	4.000	3.840	3.468	3.550	
4.330	4.000	3.840	3.468	3.550	
4.053	4.000	3.840	3.468	3.550	
4.068	4.000	3.840	3.468	3.550	
4.075	4.000	3.840	3.468	3.550	
3.926	4.000	3.840	3.468	3.550	
3.851	4.000	3.840	3.468	3.550	
3.967	4.000	3.840	3.468	3.550	
4.024	4.000	3.840	3.468	3.550	
4.053	4.000	3.840	3.468	3.550	
3.915	4.000	3.840	3.468	3.550	
3.998	4.000	3.840	3.468	3.550	
4.193	4.000	3.840	3.468	3.550	
4.138	4.000	3.840	3.468	3.550	
3.957	4.000	3.840	3.468	3.550	
